ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change
FRA2016,France,FRA,2016,0.776158742,0.151824002,0.24317724495036108,54.9070015,-0.2509994500000019,-0.0045505537850715205,9.965000153,-0.3940000569999995,-0.038034564051813935,0.18333486100000002,0.145531128,3.8496496629049837
ITA1996,Italy,ITA,1996,1.257904503,,,47.47600174,,,11.8739996,,,3.9745242839999997,,
ITA1997,Italy,ITA,1997,1.7815015769999998,0.5235970739999998,0.4162454882316291,47.44300079,-0.033000950000001694,-0.0006951080291203171,11.9989996,0.125,0.010527202645349565,2.04310552,-1.9314187639999996,-0.48594966994545596
ITA1998,Italy,ITA,1998,1.5868383680000002,-0.19466320899999956,-0.10926917579708639,47.6590004,0.21599960999999723,0.0045528235230332115,12.11900043,0.12000083000000039,0.010000902908605891,1.962939698,-0.08016582200000011,-0.03923724017935215
ITA1999,Italy,ITA,1999,1.5427691069999998,-0.044069261000000415,-0.027771739005494234,47.88000107,0.22100067000000223,0.004637123484444672,11.68999958,-0.42900084999999955,-0.03539902919204696,1.655629139,-0.30731055900000004,-0.15655629121623682
ITA2000,Italy,ITA,2000,3.663134183,2.120365076,1.3743891204323941,47.8769989,-0.0030021700000020246,-6.270196184021692e-05,10.84200001,-0.8479995700000007,-0.07254059884234831,2.519318302,0.8636891629999999,0.5216682544749534
ITA2001,Italy,ITA,2001,1.715039025,-1.9480951579999999,-0.5318110286652309,48.05199814,0.17499924000000533,0.003655183992746114,9.595000267,-1.246999743,-0.11501565595368413,2.7878162110000004,0.2684979090000006,0.1065756195979084
ITA2002,Italy,ITA,2002,0.099370852,-1.615668173,-0.9420591306952913,48.48400116,0.43200301999999624,0.008990323747648299,9.208000183,-0.3870000840000003,-0.040333514667113324,2.461074837,-0.3267413740000005,-0.11720334099169227
ITA2003,Italy,ITA,2003,-0.292868099,-0.392238951,-3.94722338699481,48.88100052,0.39699936000000235,0.00818825489855679,8.866000175,-0.3420000079999994,-0.03714161611675537,2.676470588,0.21539575099999997,0.08752100820410758
ITA2004,Italy,ITA,2004,0.92663808,1.2195061790000001,-4.164011659733552,49.5,0.6189994799999994,0.012663396276979544,7.866000175,-1.0,-0.1127904331447862,2.21522009,-0.46125049800000006,-0.1723353509162493
ITA2005,Italy,ITA,2005,0.45482596799999997,-0.47181211200000006,-0.5091654683563188,48.98899841,-0.5110015899999993,-0.010323264444444424,7.730000018999999,-0.1360001560000006,-0.017289620261164096,1.999065857,-0.21615423299999992,-0.09757686560164769
ITA2006,Italy,ITA,2006,1.70045723,1.245631262,2.7386986444010604,48.9679985,-0.020999910000000455,-0.0004286658368527485,6.77699995,-0.9530000689999989,-0.12328590771766712,2.06978661,0.07072075300000003,0.035376900041767856
ITA2007,Italy,ITA,2007,0.962787147,-0.737670083,-0.43380690204128214,48.68099976,-0.28699874000000136,-0.005860944878112617,6.0749998089999995,-0.702000141000001,-0.10358567894042858,1.8214445940000001,-0.24834201599999983,-0.11998435722801393
ITA2008,Italy,ITA,2008,-1.7037494340000001,-2.666536581,-2.769601348863873,48.98400116,0.3030013999999994,0.006224223033499898,6.72300005,0.6480002410000001,0.10666670969108516,3.375044061,1.553599467,0.8529490669755722
