ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change
COL2010,Colombia,COL,2010,2.835318278,2.335641497,4.674304642144258,67.56900024,0.555999749999998,0.008296893825593843,11.83100033,-0.23499965000000067,-0.019476185180633543,2.2782201580000003,-1.9247129499999995,-0.45794517793691225
COL2011,Colombia,COL,2011,5.467383464,2.632065186,0.9283138356716085,67.72100067,0.15200043000000107,0.002249558665365914,10.8760004,-0.9549999299999996,-0.08072013383165877,3.4116161210000002,1.133395963,0.49749185082928227
COL2012,Colombia,COL,2012,2.990156958,-2.477226506,-0.453091780064688,68.30400085,0.5830001799999991,0.008608853593893517,10.43099976,-0.44500063999999995,-0.040915835199858974,3.1769343739999996,-0.23468174700000066,-0.06878902510614582
COL2013,Colombia,COL,2013,3.851738521,0.8615815630000001,0.28813924322430173,68.18599701,-0.11800384000000008,-0.001727627057442005,9.696000098999999,-0.7349996610000016,-0.07046301197499039,2.022774948,-1.1541594259999997,-0.36329344271182595
COL2014,Colombia,COL,2014,3.412994223,-0.43874429800000003,-0.11390812112710391,68.53299713,0.34700012000000413,0.005089023189748465,9.152000427,-0.5439996719999982,-0.05610557615981293,2.877810251,0.8550353030000002,0.4227041193314207
COL2015,Colombia,COL,2015,2.11871999,-1.2942742329999999,-0.37921957918297944,68.56900024,0.036003109999995786,0.0005253397853255404,8.953000069,-0.19900035800000104,-0.021743919221519636,5.005030657,2.1272204059999997,0.7391802170628934
COL2016,Colombia,COL,2016,1.0699854420000001,-1.048734548,-0.4949849687310497,68.59700012,0.02799988000001008,0.00040834604415995734,9.871999741,0.918999672,0.10264711995055831,7.517452808,2.512422151,0.5019793729906818
CRI1996,Costa Rica,CRI,1996,-1.17737952,,,57.64199829,,,6.162000179,,,17.52249457,,
CRI1997,Costa Rica,CRI,1997,3.099964553,4.277344073,-3.632935685003252,59.7140007,2.072002410000003,0.035946054464934596,5.681000233,-0.48099994599999985,-0.07805906069903079,13.23146987,-4.2910246999999995,-0.24488663317074721
CRI1998,Costa Rica,CRI,1998,4.5584089930000005,1.4584444400000005,0.4704713279990851,61.10900116,1.3950004599999986,0.023361363225492315,5.327000141,-0.3540000919999997,-0.06231298670675478,11.66609348,-1.565376389999999,-0.1183070668172106
CRI1999,Costa Rica,CRI,1999,1.746315586,-2.8120934070000008,-0.6169023910136886,60.47100067,-0.638000489999996,-0.010440368487279583,5.894999981000001,0.5679998400000006,0.1066265862522342,10.04588377,-1.620209710000001,-0.1388819413094572
CRI2000,Costa Rica,CRI,2000,1.7071151180000002,-0.039200467999999766,-0.022447527992228378,58.97600174,-1.4949989300000013,-0.024722576333050195,5.081999778999999,-0.8130002020000013,-0.13791352071592167,10.99252429,0.9466405200000008,0.09423168151984318
CRI2001,Costa Rica,CRI,2001,1.6428498009999999,-0.06426531700000027,-0.03764556726279322,61.49499893,2.5189971900000003,0.04271224083831893,5.9149999620000004,0.8330001830000011,0.1639118888674791,11.22697551,0.2344512200000004,0.021328242159381228
CRI2002,Costa Rica,CRI,2002,1.6036292030000001,-0.03922059799999977,-0.023873514167957577,61.19499969,-0.2999992399999982,-0.004878433128220561,6.334000111,0.4190001489999995,0.07083688109751485,9.164815792,-2.062159718,-0.1836790074195147
CRI2003,Costa Rica,CRI,2003,2.669472989,1.0658437859999998,0.6646447844714136,60.89500046,-0.2999992300000045,-0.0049023487461350435,6.558000087999999,0.22399997699999918,0.035364694201849955,9.44756481,0.28274901799999874,0.030851576771113276
CRI2004,Costa Rica,CRI,2004,2.814849816,0.1453768270000002,0.05445899906050711,59.80899811,-1.0860023500000011,-0.017834014973254875,6.390999794,-0.16700029399999927,-0.02546512530635381,12.31503093,2.8674661200000013,0.3035137813465818
CRI2005,Costa Rica,CRI,2005,2.384079965,-0.430769851,-0.15303475466131222,61.79100037,1.9820022600000016,0.03313886409457534,6.571000099,0.18000030500000008,0.028164655109046866,13.79797528,1.4829443499999986,0.12041742797311827
CRI2006,Costa Rica,CRI,2006,5.720727925,3.33664796,1.399553710019957,61.65100098,-0.13999938999999983,-0.0022656922393502477,5.739999771,-0.831000328,-0.12646481745243998,11.47053071,-2.327444569999999,-0.1686801521795449
CRI2007,Costa Rica,CRI,2007,6.665863009,0.9451350839999995,0.16521238142958872,62.42200089,0.7709999100000005,0.01250587821356075,4.489999771,-1.25,-0.21777004353124385,9.357331387,-2.113199323,-0.1842285571981176
CRI2008,Costa Rica,CRI,2008,3.2311435810000004,-3.4347194279999993,-0.5152700293064183,61.78499985,-0.6370010400000012,-0.01020475202521176,4.7810001369999995,0.29100036599999957,0.06481077524313306,13.42335635,4.066024963,0.43452826397159217
CRI2009,Costa Rica,CRI,2009,-2.26692409,-5.498067671,-1.7015856872873516,61.412998200000004,-0.3720016499999943,-0.006020905574219193,7.712999821,2.931999684000001,0.6132607404273749,7.843825841,-5.5795305090000005,-0.4156583766026595
CRI2010,Costa Rica,CRI,2010,3.635324396,5.9022484859999995,-2.6036374627789147,60.52700043,-0.885997770000003,-0.01442687697992906,8.916999817,1.2039999960000003,0.15610009385996593,5.660230651,-2.18359519,-0.2783839460823133
CRI2011,Costa Rica,CRI,2011,3.055681443,-0.579642953,-0.15944738071732734,61.9640007,1.4370002699999986,0.023741475040744753,10.30900002,1.3920002029999985,0.15610633975187382,4.883012481000001,-0.7772181699999994,-0.13731210226613066
CRI2012,Costa Rica,CRI,2012,3.58892727,0.533245827,0.1745096263949788,61.41500092,-0.5489997800000026,-0.008859979565522202,10.17199993,-0.13700008999999902,-0.013289367517141493,4.504067692,-0.37894478900000106,-0.07760471440007388
CRI2013,Costa Rica,CRI,2013,1.133016575,-2.455910695,-0.684302163359248,61.58200073,0.16699981000000008,0.0027192022714048747,9.380999565,-0.7910003650000004,-0.07776252167158637,5.224285869,0.7202181770000005,0.15990394155914478
CRI2014,Costa Rica,CRI,2014,2.541837864,1.408821289,1.243425136123891,61.57400131,-0.007999419999997315,-0.0001298986701498972,9.619999886,0.23900032100000068,0.025477063434870884,4.515312677,-0.7089731920000002,-0.13570719707490042
CRI2015,Costa Rica,CRI,2015,3.628147368,1.086309504,0.42737167440354096,61.58200073,0.007999419999997315,0.00012991554600660926,9.612999916,-0.006999970000000744,-0.0007276476177705549,0.79668498,-3.7186276969999996,-0.823559288804486
CRI2016,Costa Rica,CRI,2016,3.267258975,-0.3608883930000002,-0.09946905580049203,61.60300064,0.020999910000000455,0.000341007270810767,8.998999596,-0.6140003199999988,-0.06387187406275219,-0.004186378,-0.800871358,-1.0052547469892053
CUB1996,Cuba,CUB,1996,7.297943321,,,54.40200043,,,7.599999905,,,,,
CUB1997,Cuba,CUB,1997,2.289095187,-5.008848134,-0.6863369464088498,54.29800034,-0.10400008999999955,-0.0019116960622398427,7.099999905,-0.5,-0.0657894745065789,,,
CUB1998,Cuba,CUB,1998,-0.294517312,-2.583612499,-1.1286610157902532,54.10400009,-0.19400025000000198,-0.003572880194210204,6.1999998089999995,-0.9000000960000003,-0.12676057859750078,,,
CUB1999,Cuba,CUB,1999,5.74997894,6.044496252,-20.523398814667985,53.84799957,-0.2560005200000006,-0.00473163757899886,6.3000001910000005,0.10000038200000105,0.01612909436784804,,,
CUB2000,Cuba,CUB,2000,5.527868965,-0.2221099750000004,-0.038627963218244465,53.5530014,-0.2949981699999995,-0.005478349657474513,5.400000095,-0.9000000960000003,-0.14285715376417207,,,
CUB2001,Cuba,CUB,2001,2.8547541869999997,-2.673114778,-0.48357057573632267,53.22000122,-0.3330001799999991,-0.006218142238429203,4.099999905,-1.3000001900000004,-0.24074077169067165,,,
CUB2002,Cuba,CUB,2002,1.14041943,-1.7143347569999998,-0.6005192197656631,52.85100174,-0.3689994799999994,-0.006933473723058303,3.299999952,-0.7999999529999999,-0.19512194427721574,,,
CUB2003,Cuba,CUB,2003,3.5445673510000004,2.4041479210000007,2.1081260611282295,52.47200012,-0.3790016200000039,-0.007171134084922315,2.299999952,-1.0,-0.3030303074380166,,,
CUB2004,Cuba,CUB,2004,5.5634832020000005,2.018915851,0.5695803326830338,52.11500168,-0.35699843999999814,-0.006803598856219839,1.899999976,-0.3999999759999999,-0.17391303667296765,,,
CUB2005,Cuba,CUB,2005,11.03105394,5.467570737999999,0.9827603570429544,52.78099823,0.6659965500000027,0.012779363494784146,1.899999976,0.0,0.0,,,
CUB2006,Cuba,CUB,2006,11.94701371,0.9159597700000006,0.08303465607022509,53.39799881,0.6170005799999956,0.011689824002784732,1.899999976,0.0,0.0,,,
CUB2007,Cuba,CUB,2007,7.191405004,-4.755608706,-0.3980583618163438,54.47900009,1.0810012800000024,0.020244228324855396,1.7999999519999998,-0.10000002400000008,-0.052631592243767567,,,
CUB2008,Cuba,CUB,2008,4.060975651000001,-3.1304293529999994,-0.43530149550175434,55.05799866,0.5789985700000031,0.010627922117577127,1.600000024,-0.19999992799999977,-0.11111107407407295,,,
CUB2009,Cuba,CUB,2009,1.371998715,-2.6889769360000004,-0.6621504700078292,56.56299973,1.5050010699999987,0.027334830662731457,1.669999957,0.06999993299999985,0.043749957468750544,,,
CUB2010,Cuba,CUB,2010,2.25981038,0.8878116649999999,0.6470936563522947,55.66500092,-0.8979988100000043,-0.015876081789978347,2.5,0.8300000430000001,0.49700602656961634,,,
CUB2011,Cuba,CUB,2011,2.60673959,0.3469292100000003,0.1535213808514324,56.09500122,0.4300003000000032,0.007724787440819059,3.200000048,0.7000000480000002,0.28000001920000006,,,
CUB2012,Cuba,CUB,2012,2.766054888,0.1593152980000001,0.061116690984848177,56.02299881,-0.07200241000000318,-0.0012835797920319747,3.460000038,0.25999998999999985,0.08124999565625002,,,
CUB2013,Cuba,CUB,2013,2.477313337,-0.2887415510000002,-0.10438749869087927,55.90999985,-0.11299895999999876,-0.002017010199386715,3.2869999410000004,-0.17300009699999963,-0.05000002748554877,,,
CUB2014,Cuba,CUB,2014,0.803785555,-1.6735277819999999,-0.6755414250611609,55.77500153,-0.13499832000000112,-0.002414564842822098,2.700000048,-0.5869998930000002,-0.1785822645379841,,,
CUB2015,Cuba,CUB,2015,4.240918772,3.4371332169999995,4.276181869180268,55.59899902,-0.17600250999999645,-0.0031555805499230427,2.907000065,0.20700001699999993,0.07666667159999996,,,
CUB2016,Cuba,CUB,2016,,,,55.40599823,-0.19300078999999926,-0.003471299724848831,2.914999962,0.007999896999999923,0.0027519424909265844,,,
DMA1996,Dominica,DMA,1996,2.963507921,,,,,,,,,1.677164505,,
DMA1997,Dominica,DMA,1997,2.053117727,-0.9103901940000001,-0.3072001891909234,,,,,,,2.436297155,0.7591326500000002,0.4526286167736422
DMA1998,Dominica,DMA,1998,5.669577471,3.616459744,1.7614478197917776,,,,,,,0.9991474579999999,-1.4371496970000002,-0.5898909720641201
DMA1999,Dominica,DMA,1999,1.2407019959999999,-4.428875475,-0.7811649982126155,,,,,,,1.179477874,0.1803304160000001,0.18048428643452552
DMA2000,Dominica,DMA,2000,0.702327367,-0.5383746289999999,-0.43392743038675663,,,,,,,0.856946805,-0.32253106900000006,-0.27345241153714095
DMA2001,Dominica,DMA,2001,0.481755806,-0.22057156099999997,-0.3140580466658648,,,,,,,1.303894035,0.4469472299999999,0.521557729595596
DMA2002,Dominica,DMA,2002,-1.969848117,-2.451603923,-5.088893361463712,,,,,,,0.17005533,-1.1338387049999998,-0.8695788726420548
DMA2003,Dominica,DMA,2003,7.273935542,9.243783659,-4.692637761878776,,,,,,,1.453368004,1.283312674,7.546441937456475
DMA2004,Dominica,DMA,2004,2.8305653669999997,-4.443370175,-0.6108619122817078,,,,,,,2.394109821,0.9407418169999997,0.6472839737842471
DMA2005,Dominica,DMA,2005,-0.439073021,-3.2696383879999997,-1.1551184883835965,,,,,,,1.6819007990000001,-0.7122090219999997,-0.2974838563180514
DMA2006,Dominica,DMA,2006,2.668027724,3.107100745,-7.076501165850497,,,,,,,2.592820909,0.9109201099999997,0.5416015680244646
DMA2007,Dominica,DMA,2007,6.106715294,3.43868757,1.2888500142137205,,,,,,,3.2378361439999996,0.6450152349999998,0.2487696827656214
DMA2008,Dominica,DMA,2008,6.933852575,0.8271372810000006,0.13544716614063934,,,,,,,6.334754545,3.0969184010000004,0.9564778028495566
DMA2009,Dominica,DMA,2009,-1.3848196659999998,-8.318672241,-1.1997186486186577,,,,,,,0.029933034,-6.304821511,-0.9952747918191044
DMA2010,Dominica,DMA,2010,0.37520364100000003,1.760023307,-1.2709404337705297,,,,,,,3.20744344,3.177510406,106.15397042611852
DMA2011,Dominica,DMA,2011,-0.617745189,-0.99294883,-2.6464264242041295,,,,,,,2.387630979,-0.8198124610000002,-0.2555968566042742
