,ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change
45,ATG1999,Antigua and Barbuda,ATG,1999,1.198556698,-0.7626910839999999,-0.3888805336071503,,,,,,1.121287896,,,20.3010815489709,,,24.431496631290607,,,19.689759708694503,,,15.3257742436833,,,26.278218989137997,,
46,ATG2000,Antigua and Barbuda,ATG,2000,3.859731102,2.661174404,2.220315825225984,,,,,,0.771779797,-0.3495080989999999,-0.311702373892387,15.3879404557804,-4.9131410931904975,-0.24201376076140899,10.689554254905303,-13.7419423763853,-0.5624682999888484,17.566501044823802,-2.1232586638707005,-0.1078356818612226,10.9349452870592,-4.3908289566241,-0.28649964998889577,20.358484099288106,-5.919734889849894,-0.2252715411305765
47,ATG2001,Antigua and Barbuda,ATG,2001,-6.837960061,-10.697691163,-2.7716156593024754,,,,,,1.402796636,0.6310168389999999,0.8176125385153091,,,,,,,,,,,,,,,
48,ATG2002,Antigua and Barbuda,ATG,2002,-0.329003608,6.508956453000001,-0.9518857078624284,,,,,,2.4076580130000003,1.0048613770000003,0.7163271932739368,,,,,,,,,,,,,,,
49,ATG2003,Antigua and Barbuda,ATG,2003,4.86215156,5.191155168,-15.778414101768757,,,,,,1.993530552,-0.4141274610000003,-0.1720042708573829,,,,,,,,,,,,,,,
50,ATG2004,Antigua and Barbuda,ATG,2004,4.655690215,-0.20646134500000013,-0.04246295954624668,,,,,,2.030077579,0.0365470269999999,0.018332815096981703,,,,,,,,,,,,,,,
51,ATG2005,Antigua and Barbuda,ATG,2005,5.101193261000001,0.4455030460000007,0.09569001059491676,,,,,,2.098751967,0.06867438799999981,0.0338284549863499,12.175254617931197,,-0.2087794560345061,8.87076689216739,,-0.170146230550567,12.760090594023499,,-0.273612282749761,8.36733169834555,,-0.2348080874032589,18.467447180485,,-0.0928869217167907
52,ATG2006,Antigua and Barbuda,ATG,2006,11.49578815,6.394594888999999,1.2535488388351022,,,,,,1.787785374,-0.3109665929999996,-0.1481673860892203,13.3407048313104,1.1654502133792022,0.09572286165274746,8.745233421178499,-0.12553347098889134,-0.014151366225138129,16.4547867871525,3.694696193129001,0.2895509374251233,8.054827945994969,-0.31250375235058137,-0.037348077453696726,18.2833350754158,-0.18411210506920028,-0.009969548214750379
53,ATG2007,Antigua and Barbuda,ATG,2007,7.997958804,-3.497829346,-0.304270511978772,,,,,,1.4160525940000002,-0.3717327799999999,-0.2079291985526669,14.896090436646302,1.5553856053359016,0.1165894624761834,10.0984362721635,1.3532028509850011,0.15473604714860145,17.8798572743945,1.4250704872419997,0.08660522349366806,8.84930268559738,0.7944747396024106,0.09863335938757567,18.082763902220695,-0.20057117319510095,-0.010970163395670252
54,ATG2008,Antigua and Barbuda,ATG,2008,-1.139117234,-9.137076038,-1.1424259941711998,,,,,,5.333806398,3.9177538039999997,2.7666725237466707,,,,,,,,,,,,,,,
55,ATG2009,Antigua and Barbuda,ATG,2009,-13.07235506,-11.933237826,10.47586452897086,,,,,,-0.550159996,-5.883966394,-1.1031458502517624,14.8029959270095,,-0.0062495934777475615,9.97045459431788,,-0.01267341540773037,17.414036340878805,,-0.02605283288154614,8.5270567476124,,-0.036414839613232886,16.9718445277627,,-0.06143526401523002
56,ATG2010,Antigua and Barbuda,ATG,2010,-8.102298063,4.9700569969999995,-0.3801959917848192,,,,,,3.370025402,3.920185398,-7.125536982881613,11.559410634235801,-3.243585292773698,-0.2191168131618183,9.56555412318448,-0.4049004711334003,-0.040610031097694566,10.3960567374366,-7.0179796034422015,-0.40300706085973625,10.791479889456598,2.2644231418441976,0.2655574143420873,24.8121933764462,7.840348848683502,0.4619620946832377
57,ATG2011,Antigua and Barbuda,ATG,2011,-2.8491019260000003,5.253196136999999,-0.6483587861312181,,,,,,3.456749672,0.08672426999999994,0.02573401077289561,11.559410634235801,0.0,0.0,9.565554123184473,-8.88178419700125e-15,-8.881784197001252e-16,10.3960567374366,0.0,0.0,10.791479889456598,0.0,0.0,24.8121933764462,0.0,0.0
