,year,ctrycode,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change,Animal_tariff,Animal_delta,Animal_%change,Chemicals_tariff,Chemicals_delta,Chemicals_%change,Food Products_tariff,Food Products_delta,Food Products_%change,Footwear_tariff,Footwear_delta,Footwear_%change,Fuels_tariff,Fuels_delta,Fuels_%change,Hides and Skins_tariff,Hides and Skins_delta,Hides and Skins_%change,Mach and Elec_tariff,Mach and Elec_delta,Mach and Elec_%change,Metals_tariff,Metals_delta,Metals_%change,Minerals_tariff,Minerals_delta,Minerals_%change,Miscellaneous_tariff,Miscellaneous_delta,Miscellaneous_%change,Plastic or Rubber_tariff,Plastic or Rubber_delta,Plastic or Rubber_%change,Stone and Glass_tariff,Stone and Glass_delta,Stone and Glass_%change,Textiles and Clothing_tariff,Textiles and Clothing_delta,Textiles and Clothing_%change,Transportation_tariff,Transportation_delta,Transportation_%change,Vegetable_tariff,Vegetable_delta,Vegetable_%change,Wood_tariff,Wood_delta,Wood_%change,ctryyear
17,2013,ABW,9.694452090378881,0.17636116561287096,0.018529048210075505,13.4553866173911,0.0,0.0,10.305317766339,0.2715987080308011,0.027068598039518443,7.1841367596870995,0.002186264464069332,0.0003044109626657576,1.2897339876129499,0.0,0.0,0.8201982602364759,-0.004073430275143064,-0.004941853908163152,7.16435331038844,0.0,0.0,15.1289994593802,1.5746950140477995,0.11617674816136114,7.2841410882480595,0.0,0.0,5.96683767731423,0.0,0.0,12.0252711815788,0.0,0.0,12.965015600529199,0.0,0.0,6.6621813658696,0.0,0.0,3.91947484172598,0.0,0.0,10.1662439137626,0.0,0.0,14.7397490936398,0.0,0.0,5.590734894414821,0.0,0.0,7.31415422649897,0.0,0.0,24.4756871645585,0.0,0.0,0.853309105168566,0.0,0.0,7.65510572069878,0.0,0.0,ABW2013
18,2014,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2014
19,2015,ABW,10.018500919826,,0.03342621392380862,12.8738496700301,,-0.04321963863969269,11.2676511496875,,0.09338221345214981,7.207176505423139,,0.003207030504391861,1.0780001938296702,,-0.1641685772545689,0.9556043246851121,,0.16508943143770693,7.045596429356871,,-0.016576078242731218,17.354462332751698,,0.1470991442194598,7.35963034527447,,0.010363508354911177,5.998694607943371,,0.005338997363755871,12.042586594927402,,0.001439918741718449,12.608982035731302,,-0.027461098063265355,6.8803135033007505,,0.032741849171000315,2.96364678787144,,-0.243866357727055,11.0806578431213,,0.08994609386863206,14.3687378684306,,-0.025170796521176264,5.81826103162715,,0.040696999859469285,7.41009230982736,,0.013116770628216923,24.605771046595102,,0.005314820424121347,0.790853214375907,,-0.0731925751340965,7.6788184706749,,0.003097638470491937,ABW2015
20,2016,ABW,10.158304846542599,0.13980392671659914,0.013954575423548166,12.940805648508501,0.06695597847840062,0.0052009290301309186,11.564745663057598,0.29709451337009796,0.026367031551055575,7.210968975302481,0.0037924698793414535,0.0005262074373353354,1.96512265147827,0.8871224576485999,0.8229334862149107,0.9875479858816579,0.03194366119654579,0.03342770681481766,7.124535933303549,0.07893950394667826,0.011204091057183119,16.9387216658375,-0.4157406669141963,-0.02395583677228663,7.61509571100253,0.25546536572806033,0.03471171155927566,5.99994371900864,0.0012491110652694815,0.00020823048128093546,12.0417206153231,-0.0008659796043009038,-7.190976767945667e-05,12.612942606280198,0.003960570548896314,0.00031410708157664224,7.52159258948593,0.6412790861851798,0.09320492240325007,3.0235126635741403,0.05986587570270041,0.020200071056948543,11.3415959441124,0.26093810099110115,0.02354897197309347,14.444797573525,0.07605970509439963,0.005293415872072549,6.06680250651981,0.24854147489265976,0.042717484406702866,7.4376856649955,0.027593355168139766,0.0037237532293012965,24.3286412470963,-0.2771297994988018,-0.011262796803807151,0.880497730854789,0.08964451647888194,0.11335164964793609,7.725761613352621,0.04694314267772093,0.006113328874356672,ABW2016
0,1996,ARG,13.401522626222501,,,13.0006982889765,,,18.6069690362679,,,10.1254659097684,,,5.131654521822241,,,9.86252218195369,,,8.02128740818604,,,14.8818157890256,,,26.346954910448105,,,0.22549459241724598,,,15.0633466861889,,,13.7165422794296,,,15.142250062300999,,,2.3120495442189397,,,15.4179773934699,,,13.972298082873198,,,12.5666572277307,,,17.714115413848898,,,20.1193495432328,,,7.6883867342724095,,,13.6028890271541,,,ARG1996
1,1997,ARG,13.9285176355881,0.5269950093655993,0.039323517488560444,13.9016879168767,0.9009896279002003,0.06930317186609614,18.7917367341498,0.1847676978819024,0.009930026621840504,10.54676435637,0.4212984466016003,0.041607808505400135,4.82757628214958,-0.3040782396726609,-0.0592553996726739,9.55672752716684,-0.3057946547868493,-0.03100572542654334,8.501840488774139,0.4805530805880984,0.05990971974120707,14.9846491492764,0.10283336025080025,0.006910000883536993,24.9192657581141,-1.427689152334004,-0.054188013650406375,0.196957507989547,-0.028537084427698978,-0.12655329833761653,15.990731167501302,0.9273844813124015,0.06156563349648536,13.9961236251121,0.2795813456824998,0.020382785981112983,15.1416343685569,-0.0006156937440984223,-4.066065093133453e-05,2.42438711644618,0.11233757222724039,0.04858787412585075,15.8627050728255,0.44472767935559965,0.028844748439179835,13.770545224073501,-0.20175285879969707,-0.014439490025409563,12.441808816865699,-0.12484841086500076,-0.009934894268421646,17.6548360613295,-0.059279352519396866,-0.0033464472334335804,20.7952735888888,0.6759240456560001,0.033595720587465516,6.67273995845493,-1.0156467758174799,-0.13210141619047933,12.630365528731101,-0.9725234984229996,-0.071493893428201,ARG1997
2,1998,ARG,15.667425256635198,1.7389076210470975,0.12484513187563451,14.427533399397301,0.5258454825206016,0.03782601693152832,21.292271347611603,2.5005346134618023,0.13306564735539506,13.157098610269802,2.6103342538998024,0.24750095533548366,7.47182580367278,2.6442495215232,0.547738526949965,12.042247380800399,2.4855198536335585,0.26008064440133816,11.66419532382,3.1623548350458606,0.37196120524978626,17.917806004671302,2.933156855394902,0.19574411293684135,30.580419034877895,5.661153276763795,0.2271797785583003,0.36181006091867896,0.16485255292913195,0.8369955256434349,17.4517433246753,1.4610121571739967,0.09136618844191924,14.1259709195002,0.1298472943880995,0.009277375498107476,17.2218315993504,2.080197230793498,0.1373826087831862,5.43327684034675,3.0088897239005696,1.2410929358143061,17.5490340057586,1.6863289329330993,0.10630777822516291,16.6294609295029,2.8589157054294,0.20761093035237832,15.050466714114098,2.608657897248399,0.20966870136375904,20.764107591904498,3.109271530574997,0.17611443798027837,22.3430535264244,1.5477799375355978,0.07442940968868039,9.41170774450165,2.73896778604672,0.41047123117336737,14.1562008702949,1.5258353415637984,0.12080690286380724,ARG1998
3,1999,ARG,14.7564830011707,-0.9109422554644979,-0.058142435055096975,13.1057328835098,-1.3218005158875012,-0.0916165278773653,20.0425053385506,-1.2497660090610019,-0.05869575813015315,12.8341032798606,-0.3229953304092028,-0.02454913047144669,7.44196227497465,-0.02986352869812947,-0.003996818111504985,12.1472404534011,0.1049930726007009,0.008718727433560058,11.8904305009337,0.22623517711370056,0.019395695187965023,18.429368041691397,0.5115620370200951,0.02855048418800421,30.212605515255603,-0.3678135196222918,-0.012027746225543479,0.46553705513862104,0.10372699421994208,0.28668908199116094,17.978898691592,0.527155366916702,0.030206458868286656,14.0428617529223,-0.08310916657789846,-0.005883430388715416,17.0044150719258,-0.21741652742460005,-0.012624471803150183,5.51846627163571,0.08518943128895984,0.015679199457748094,17.0959874848194,-0.45304652093919984,-0.025816037554576288,16.4036554217777,-0.2258055077252017,-0.013578642668121144,14.591329335499802,-0.4591373786142956,-0.03050652098274953,20.779053473303,0.014945881398503502,0.0007197940644620981,18.2808401317402,-4.0622133946842,-0.18181102193037102,9.832290007106119,0.4205822626044693,0.04468713585482664,13.1840864738804,-0.9721143964144989,-0.06867057096190021,ARG1999
4,2000,ARG,14.4941541793745,-0.262328821796201,-0.01777719133857225,13.0921577618698,-0.013575121640000631,-0.001035815529025541,19.5501271326049,-0.4923782059457018,-0.02456669950331214,12.6930003310402,-0.1411029488204001,-0.010994375356307096,6.25534234728397,-1.1866199276906801,-0.15944987139762434,13.607152278515,1.4599118251139007,0.12018464858042233,11.6788608350292,-0.21156966590450033,-0.01779327215174309,18.945396556877398,0.5160285151860009,0.02800033696318982,30.6594020704243,0.4467965551686959,0.014788415217717343,0.34836350278894396,-0.11717355234967708,-0.25169543660662375,18.6319285503057,0.6530298587137011,0.03632201671057289,13.5379247250597,-0.5049370278626011,-0.035956846741549975,16.7706061251175,-0.2338089468082991,-0.01374989647214131,5.37729477791066,-0.14117149372504922,-0.02558165381034483,16.891262159377803,-0.20472532544159705,-0.011975051199785036,16.3252860770684,-0.0783693447092979,-0.0047775537033808435,14.5000502772101,-0.09127905828970206,-0.006255705439231374,20.8045741845239,0.025520711220899273,0.00122819411643027,19.6780388427545,1.3971987110143012,0.07642967724379401,10.304319341481,0.4720293343748807,0.04800807686039876,12.8811576198349,-0.30292885404550063,-0.022976855821269626,ARG2000
5,2001,ARG,13.505821450802697,-0.9883327285718018,-0.06818836865818778,13.546868969796698,0.45471120792689845,0.03473157108228708,16.8580118047312,-2.692115327873701,-0.13770321336600932,11.428905659510901,-1.264094671529298,-0.0995899029828281,5.895763148442089,-0.35957919884188083,-0.05748353629246328,11.8768990559599,-1.7302532225551008,-0.12715762910121042,11.4968383293085,-0.182022505720699,-0.015585638727258933,18.3246788370569,-0.6207177198204974,-0.03276351159802826,8.53806074048286,-22.121341329941437,-0.721519006767613,0.321943499603111,-0.02642000318583293,-0.07584033050052175,18.4321059492603,-0.19982260104540117,-0.010724740624991402,13.1668036625511,-0.37112106250859966,-0.02741343817798214,15.849227586944302,-0.9213785381731974,-0.054940085724942245,4.87599692582285,-0.5012978520878102,-0.09322491564849433,15.554315906290698,-1.3369462530871044,-0.07915016891410032,15.6961507886801,-0.6291352883883015,-0.03853747403985941,13.682790968566898,-0.8172593086432016,-0.05636251550987359,8.12939740898378,-12.675176775540121,-0.6092495171071046,22.283396816921897,2.605357974167397,0.1323992698147709,9.77441113840303,-0.5299082030779694,-0.05142583275197754,12.1628538989581,-0.7183037208768006,-0.05576391051769514,ARG2001
