,year,ctrycode,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change,Animal_tariff,Animal_delta,Animal_%change,Chemicals_tariff,Chemicals_delta,Chemicals_%change,Food Products_tariff,Food Products_delta,Food Products_%change,Footwear_tariff,Footwear_delta,Footwear_%change,Fuels_tariff,Fuels_delta,Fuels_%change,Hides and Skins_tariff,Hides and Skins_delta,Hides and Skins_%change,Mach and Elec_tariff,Mach and Elec_delta,Mach and Elec_%change,Metals_tariff,Metals_delta,Metals_%change,Minerals_tariff,Minerals_delta,Minerals_%change,Miscellaneous_tariff,Miscellaneous_delta,Miscellaneous_%change,Plastic or Rubber_tariff,Plastic or Rubber_delta,Plastic or Rubber_%change,Stone and Glass_tariff,Stone and Glass_delta,Stone and Glass_%change,Textiles and Clothing_tariff,Textiles and Clothing_delta,Textiles and Clothing_%change,Transportation_tariff,Transportation_delta,Transportation_%change,Vegetable_tariff,Vegetable_delta,Vegetable_%change,Wood_tariff,Wood_delta,Wood_%change,ctryyear
19,2015,BHS,19.0283752693964,-0.7969424914014986,-0.04019822032700804,30.1287594323841,-1.948656034600198,-0.06074853619693432,17.6783811548097,1.2151480023999994,0.07380980340560495,29.7264205677277,-0.5938739178146015,-0.019586680403047563,18.0269827407655,-2.837103020299697,-0.13598022232031182,12.968654745619302,-0.3631396917951992,-0.02723862068980598,26.1802795660445,1.0409646532306027,0.04140783696138062,19.0409071388857,-1.1815411352009981,-0.05842720521209288,26.4994104936544,-3.066397288136802,-0.10371430778310464,0.0,0.0,,9.42287101805501,-0.27726154343701914,-0.02858327364903268,33.0580576541534,-0.5370049477614955,-0.015984638996650813,37.5287048516148,-1.2718158059174058,-0.03277831803193887,16.436590060267196,-2.474720617130103,-0.13085928624121623,27.3814273182297,-1.1610169580318015,-0.04067685818335498,39.976138691235704,0.7426565093175057,0.01892915102141446,31.125598672267,6.1221560034252,0.24485252229103494,26.8813575756943,-6.693936537729801,-0.1993708979917298,5.4434475000984595,1.8976830435465293,0.5351971533359907,6.160069207811119,-1.3748538076292007,-0.18246421427423942,24.4336354718532,-2.6077256034125966,-0.09643470223833639,BHS2015
20,2016,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHS2016
0,1996,BLZ,15.631940580955401,,,13.9634005459251,,,17.942791226075002,,,9.79559258548003,,,11.8750950839823,,,5.84113625349244,,,12.538133120587199,,,19.2019598085316,,,23.5152484493602,,,4.6567438162091,,,24.4619239084315,,,19.417886693741398,,,19.7158527947744,,,19.985391618521604,,,20.6017141329762,,,19.371510160758,,,22.097445553876298,,,24.781603084212602,,,22.6779312020994,,,15.358203603313802,,,14.745743490039501,,,BLZ1996
1,1997,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLZ1997
2,1998,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLZ1998
3,1999,BLZ,11.1878631605945,,-0.28429467201117564,12.454275438816198,,-0.10807719094968637,8.90165504786998,,-0.5038868292167482,14.327103136787,,0.4626070869897154,25.434587134451398,,1.141842819326878,24.5553086992911,,3.203858227859242,14.0922901335358,,0.12395441952970865,19.4049047385325,,0.010568969627294589,19.260899536609003,,-0.1809187311761934,5.1292720414479405,,0.10147181032249919,19.296128196619502,,-0.21117700026985453,16.567973365223903,,-0.14676743012595983,12.673936711125,,-0.3571702506074619,16.4936304054458,,-0.17471567631628449,18.429494146424698,,-0.10543879856455873,15.0239174414456,,-0.224432307199238,18.3559014696023,,-0.16932020830876815,19.8058660744389,,-0.20078350027902558,32.9808237031211,,0.45431359717979514,27.074102754574,,0.7628430677095781,11.3297256273017,,-0.23166128347785675,BLZ1999
4,2000,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLZ2000
5,2001,BLZ,10.717061643363099,,-0.04208145116483386,6.660368872584139,,-0.46521426274018396,13.138293794445401,,0.47593831976101786,7.420131470082571,,-0.4820912923401617,9.96459858662995,,-0.6082264463757383,5.66620178944602,,-0.7692473811331233,9.68305937921898,,-0.31288248485773473,22.6839855866085,,0.16898206367201052,18.1635976069986,,-0.05697044042645938,3.6697469694780804,,-0.28454818932899706,19.4391524977722,,0.007412072499484834,7.23245856341212,,-0.5634675162749225,8.476241074825209,,-0.33120692741152113,8.31547907734181,,-0.495836945964532,15.290122103866599,,-0.17034499252206192,12.5024776791606,,-0.16782838245165344,11.124115532288899,,-0.3939760708178439,13.5722519483482,,-0.3147357506438808,15.323031290362,,-0.5353957369805799,8.32837379778315,,-0.6923859721860544,15.6999053873522,,0.3857268837578467,BLZ2001
6,2002,BLZ,11.6513655306955,0.9343038873324012,0.08717910920210126,7.0301475298996605,0.3697786573155213,0.05551924591408586,16.262320281632302,3.1240264871869012,0.23778022748339467,6.61608928693243,-0.8040421831501403,-0.10835956025738624,11.3864505565119,1.4218519698819492,0.14269034096262811,6.24406120461773,0.5778594151717105,0.10198355735371845,9.37844985856281,-0.30460952065616986,-0.03145798334252692,21.006032503492698,-1.6779530831158027,-0.07397082301561608,18.4252541890433,0.26165658204470077,0.014405548267810264,4.87643674142524,1.2066897719471599,0.3288209737574299,19.614409450515698,0.17525695274349928,0.009015668392106324,7.72074006720351,0.4882815037913897,0.06751252005252129,7.82379106079086,-0.6524500140343488,-0.0769739803616668,8.299254083207039,-0.0162249941347703,-0.0019511797196364311,13.740761016169099,-1.5493610876975001,-0.10133085119743379,12.554291690138399,0.051814010977798475,0.004144299418679553,12.3613237021496,1.2372081698607005,0.11121856531151408,14.9260442239343,1.3537922755861,0.09974706340099027,13.4871444075831,-1.8358868827788992,-0.11981225176598376,8.59270064008745,0.2643268423042997,0.031738109830595995,16.438092350016902,0.7381869626647024,0.04701856122390291,BLZ2002
7,2003,BLZ,11.351761023618801,-0.2996045070766993,-0.02571411104452881,6.76699435651768,-0.26315317338198074,-0.03743209829705185,15.0920141568839,-1.170306124748402,-0.07196427720527798,6.8145269312744405,0.19843764434201017,0.029993193219739034,10.4642167501126,-0.9222338063992996,-0.08099396750744903,6.845560559236111,0.6014993546183804,0.09633143156469193,9.424543267697231,0.04609340913442139,0.004914821727423968,19.671082283824,-1.3349502196686984,-0.0635508023443615,18.414043813749,-0.01121037529430069,-0.000608424458044543,1.91362774031084,-2.9628090011144,-0.6075766298669256,19.691987930828397,0.07757848031269887,0.00395517797812972,7.80267934848462,0.08193928128111061,0.010612879149911603,8.19884272101622,0.37505166022535974,0.04793733080436424,8.28361501011092,-0.01563907309611956,-0.0018843950238569551,15.7585783977809,2.017817381611801,0.14684902671965427,12.5958774168176,0.041585726679201684,0.003312470962568703,11.701739896430002,-0.6595838057195973,-0.05335867109481951,15.4144282892295,0.4883840652952003,0.03272026117355753,15.8407358662042,2.3535914586211,0.17450628446580585,8.303741244155429,-0.2889593959320216,-0.03362847235523858,9.231462692664529,-7.206629657352373,-0.43841034007483004,BLZ2003
8,2004,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLZ2004
9,2005,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLZ2005
10,2006,BLZ,10.0233654331064,,-0.11702110251867548,7.17624469826479,,0.06047741732678369,11.635122643619402,,-0.2290543513496316,7.29702671799975,,0.070804590192598,9.67757881584282,,-0.07517408641801271,6.290883360681599,,-0.08102728677290483,8.67825588885065,,-0.07918552206179508,15.9441080174681,,-0.18946462693721122,18.333907469783302,,-0.00435191448311123,3.3486059215549506,,0.749873212546041,19.7391942399679,,0.0023972343120117756,8.02498446912465,,0.028490869701470523,7.877825829030981,,-0.03915392731737266,8.08255337207857,,-0.024272209390095445,18.9245692849007,,0.20090586899422536,12.3845314107511,,-0.016778982445821433,25.2051857515929,,1.1539690656842034,16.629000523753902,,0.07879450419663359,15.287108397778699,,-0.034949605441414566,9.07079004655036,,0.09237388062095708,14.1469329169614,,0.5324692725241456,BLZ2006
11,2007,BLZ,9.67309182930312,-0.35027360380328076,-0.03494570821955212,7.255621216425769,0.07937651816097979,0.01106101052827424,11.274757660397,-0.36036498322240185,-0.030972168859777605,6.790950356453941,-0.5060763615458095,-0.06935377669612453,9.678203953012948,0.0006251371701289088,6.459644318312918e-05,5.79707458007167,-0.49380878060992917,-0.0784959364683605,9.018665843160841,0.34040995431019105,0.0392256184503077,15.641632192247801,-0.3024758252202986,-0.018971009534613725,18.2440719857081,-0.08983548407520203,-0.004899963863309709,3.35027728751103,0.001671365956079196,0.0004991229171880107,19.4578979796916,-0.2812962602762994,-0.01425064553581068,7.95777661316553,-0.06720785595912027,-0.008374826919316236,7.82219509653533,-0.055630732495651536,-0.007061686016291979,8.07467825904521,-0.007875113033358971,-0.000974334801247756,19.372448746580602,0.44787946167990356,0.02366656038176007,12.1910754395426,-0.19345597120850044,-0.01562077439930909,18.5698581337465,-6.6353276178464,-0.26325247840822064,15.613925653148,-1.0150748706059023,-0.06104244624659827,14.849340459442699,-0.43776793833600003,-0.028636412259601007,8.63104000716214,-0.43975003938822077,-0.048479794718152336,12.829301425657198,-1.317631491304203,-0.0931390216549649,BLZ2007
12,2008,BLZ,9.24554606341342,-0.4275457658897004,-0.044199494167368236,6.91232836338245,-0.34329285304331947,-0.047314053862975936,10.998343566556699,-0.2764140938403017,-0.024516189364425678,6.95628534115649,0.16533498470254937,0.02434636921552813,7.894058005860001,-1.7841459471529477,-0.18434680192883524,6.53519558981035,0.7381210097386797,0.12732646433014394,8.478936655650429,-0.539729187510412,-0.05984579059658879,15.6148359028672,-0.026796289380600413,-0.0017131389519491336,18.4017768241343,0.15770483842619853,0.008644168831921872,3.2947334746303203,-0.05554381288070953,-0.01657887037821093,19.7712428676397,0.313344887948098,0.016103737838236043,7.292080911102179,-0.6656957020633509,-0.08365347941056911,7.453707188060339,-0.36848790847499036,-0.04710799256825027,8.02509543525164,-0.04958282379357115,-0.006140532440166102,18.677118661243398,-0.6953300853372042,-0.03589273067298404,12.721099139108698,0.5300236995660992,0.04347636943061883,24.5872819259841,6.017423792237601,0.3240425289680755,16.586949206408597,0.9730235532605978,0.062317675572153286,14.5474539498417,-0.3018865096009993,-0.02032996081041627,6.32780042375437,-2.3032395834077697,-0.26685539419311166,13.6037634641054,0.7744620384482026,0.06036665697941768,BLZ2008
13,2009,BLZ,12.0554485626983,2.809902499284881,0.3039195824683909,7.51287125242362,0.6005428890411704,0.0868799711863375,14.4835676442535,3.4852240776968006,0.31688627079213316,6.612975450882809,-0.3433098902736811,-0.04935247383290997,9.57249897467451,1.6784409688145088,0.21262080511297876,7.72454642121279,1.1893508314024404,0.18199161984637025,8.773831874332839,0.2948952186824094,0.03477974074566159,23.317870763673803,7.703034860806602,0.49331513367951363,18.934300352683998,0.5325235285496994,0.028938701606862516,3.55146797618973,0.2567345015594098,0.07792269193738544,19.967571932772398,0.19632906513269788,0.009930031533527783,8.25970232421103,0.9676214131088514,0.1326948267449488,7.757060130075719,0.30335294201537977,0.04069826387885245,8.15200899071932,0.1269135554676808,0.015814585196107567,20.654628149725102,1.9775094884817044,0.10587872381970809,13.6712204905141,0.9501213514054019,0.0746886209293367,29.12754879537,4.540266869385899,0.18465916171838814,19.4182413329688,2.8312921265602036,0.1706939649556709,16.441741188052898,1.8942872382111986,0.1302143484861702,8.10138761270123,1.773587188946859,0.2802849442420572,12.3448199208648,-1.2589435432405995,-0.09254376897704975,BLZ2009
14,2010,BLZ,12.054803773301302,-0.0006447893969987462,-5.348530945537e-05,7.51213859642517,-0.0007326559984504044,-9.752010567387615e-05,14.4832226312531,-0.0003450130004001295,-2.3820995549872492e-05,6.612975450882809,0.0,0.0,9.57249897467451,0.0,0.0,7.72454642121279,0.0,0.0,8.773831874332839,0.0,0.0,23.307958316690698,-0.009912446983104672,-0.0004251008629204689,18.934300352683998,0.0,0.0,3.55146797618973,0.0,0.0,19.967571932772398,0.0,0.0,8.25876156663332,-0.0009407575777107269,-0.00011389727387067783,7.757060130075719,0.0,0.0,8.15200899071932,0.0,0.0,20.654628149725102,0.0,0.0,13.6712204905141,0.0,0.0,29.1352940185638,0.00774522319380111,0.0002659071399455648,19.417844203742,-0.0003971292268012405,-2.045134881123456e-05,16.441741188052898,0.0,0.0,8.12771991607721,0.02633230337598036,0.0032503448340994723,12.3448199208648,0.0,0.0,BLZ2010
15,2011,BLZ,8.899706365321961,-3.1550974079793406,-0.2617294704512052,6.843786474062981,-0.6683521223621893,-0.0889696208054842,10.449530526711198,-4.033692104541901,-0.2785079127236272,5.8132987448594,-0.7996767060234093,-0.12092540067068525,8.40082418470643,-1.1716747899680797,-0.12240009563520693,6.49915552316366,-1.2253908980491302,-0.15863596789113965,6.648923756665719,-2.124908117667119,-0.24218701111465013,16.646664728733,-6.661293587957697,-0.2857948129754283,18.680431287209302,-0.2538690654746958,-0.013407892594178072,3.13788118411015,-0.41358679207958016,-0.11645516582224846,16.0996468085234,-3.8679251242489983,-0.19371033880692556,7.6095895224725805,-0.6491720441607391,-0.07860404237646179,7.833776676944339,0.07671654686861995,0.009889899727755669,8.06863001466877,-0.08337897605055034,-0.010228027980032084,19.8616304458763,-0.7929977038488012,-0.03839322103019105,12.939422142838199,-0.7317983476759018,-0.0535283845494019,25.516589604530502,-3.6187044140332993,-0.12420346304820573,16.4975543043147,-2.920289899427299,-0.15039207590637338,13.9412906099514,-2.500450578101498,-0.1520794269598652,4.99402272915598,-3.1336971869212293,-0.3855567390705176,7.94960672745782,-4.39521319340698,-0.3560370440056674,BLZ2011
16,2012,BLZ,8.878288332405841,-0.02141803291612021,-0.002406599952508137,6.62759771633962,-0.21618875772336033,-0.03158905651757049,10.6425338719441,0.19300334523290097,0.018470049418923162,5.771086178722559,-0.04221256613684066,-0.0072613791221668444,8.897702606272789,0.4968784215663593,0.059146389763866214,5.63094144362247,-0.8682140795411897,-0.13358875263821357,6.6327251810457,-0.016198575620019362,-0.0024362703217614134,18.0725891929561,1.425924464223101,0.08565826773467022,18.6109034149157,-0.06952787229360169,-0.0037219629046363334,3.06215078225972,-0.0757304018504299,-0.024134247731851466,16.4677598483975,0.3681130398740997,0.022864665557707387,6.80046764623374,-0.8091218762388408,-0.10632924073622474,7.86740717584521,0.03363049890087133,0.0042930122069793075,8.10559917957744,0.03696916490867075,0.004581839152552725,19.1984520329068,-0.6631784129695006,-0.03338992812179675,12.496714444076,-0.44270769876219873,-0.034213869357932025,18.691027939295,-6.825561665235501,-0.26749505992068834,16.4002805731085,-0.09727373120620086,-0.005896251614747494,16.028773976681002,2.087483366729602,0.14973386791317167,4.95277209687014,-0.04125063228584036,-0.008260000909689924,9.59347351170404,1.64386678424622,0.20678592546827868,BLZ2012
17,2013,BLZ,10.2388667351709,1.360578402765059,0.15324782793986702,5.541240944790161,-1.0863567715494593,-0.16391410855718735,17.2245404767215,6.582006604777401,0.618462359056138,4.4358617022648605,-1.3352244764576984,-0.23136450143138443,11.1329081650647,2.235205558791911,0.25121153827012765,8.26630928283579,2.6353678392133197,0.4680154936077523,7.79456870429792,1.1618435232522204,0.17516834959066507,17.2219469176686,-0.8506422752875018,-0.04706809114097743,19.592652732412,0.9817493174962983,0.052751298290521165,2.35595923922483,-0.70619154303489,-0.23061945451090904,14.421148443546901,-2.046611404850598,-0.12427989135691442,6.81043238547602,0.009964739242279919,0.0014653020587191978,5.60852960677216,-2.25887756907305,-0.2871184265139264,7.9288411819040405,-0.17675799767340017,-0.02180690085425796,12.118793078970098,-7.079658953936702,-0.3687619679858525,14.0161930708413,1.5194786267653004,0.12159024946637875,29.1365018387186,10.4454738994236,0.5588496220405088,15.7847660783164,-0.6155144947920999,-0.03753072955357595,10.8758007532231,-5.152973223457902,-0.32148268051908124,6.53369116434268,1.5809190674725402,0.3191988317959529,10.804123077500599,1.2106495657965581,0.12619512258198928,BLZ2013
18,2014,BLZ,10.2367080818716,-0.002158653299300539,-0.00021082931882343559,5.53118909923084,-0.010051845559321038,-0.001814006223420317,17.171378695823698,-0.05316178089780266,-0.0030863976295709694,4.43711890517353,0.0012572029086692638,0.0002834179677033699,11.108724609465801,-0.024183555598899176,-0.00217225860847281,7.858655124548769,-0.4076541582870208,-0.049315135006317234,7.78923827485875,-0.005330429439170281,-0.0006838645781941377,17.2611697686077,0.03922285093910105,0.0022774922676633835,19.5926168801989,-3.585221309876374e-05,-1.8298804959071546e-06,2.3557713390392,-0.00018790018562997446,-7.975527865744514e-05,14.4211242918487,-2.4151698200469696e-05,-1.67474166812287e-06,6.765946051798299,-0.04448633367772015,-0.006532086534269399,5.608314064415031,-0.0002155423571297277,-3.843117042112709e-05,7.928818549735769,-2.263216827191883e-05,-2.8544105945549347e-06,12.259317295374,0.140524216403902,0.011595561991049719,13.9795158282756,-0.03667724256570004,-0.0026167763514902687,29.186689106286103,0.05018726756750169,0.0017224877524868454,15.778598547517099,-0.006167530799300991,-0.00039072677850915394,10.891293296717699,0.01549254349459872,0.001424496811419429,6.51453216395426,-0.01915900038842011,-0.002932339455066324,10.798723693071599,-0.005399384428999454,-0.0004997522140638422,BLZ2014
19,2015,BLZ,11.146546517743301,0.909838435871702,0.08887998256812213,7.208659688785059,1.6774705895542192,0.3032748581652156,14.9603932060139,-2.210985489809797,-0.12875992830718586,6.55576516008039,2.11864625490686,0.4774824159966935,14.4907421067243,3.3820174972584987,0.30444696543981875,6.15454561645236,-1.7041095080964093,-0.21684492843732683,7.63946316383483,-0.14977511102391983,-0.019228466987246673,20.6210895397365,3.359919771128798,0.19465191618932853,17.790206321571397,-1.8024105586275034,-0.09199437572063651,3.3228440804215698,0.9670727413823696,0.41051214324425467,19.0329633770333,4.6118390851846005,0.3197974715321861,7.26146924147187,0.49552318967357056,0.07323782747896246,7.779048536227879,2.1707344718128487,0.3870565105449859,8.09896039851891,0.17014184878314165,0.021458663445995008,18.554551489344302,6.295234193970302,0.513506098446916,13.171958867136299,-0.8075569611393014,-0.057767162400996774,21.1094873574798,-8.077201748806303,-0.276742652083366,19.3453636233454,3.5667650758283003,0.22605081592557297,14.388563435144802,3.497270138427103,0.3211069652748286,6.41979921352639,-0.09473295042787022,-0.01454178873381573,10.65740268881,-0.14132100426159866,-0.013086824728395396,BLZ2015
20,2016,BLZ,11.4883785190825,0.3418320013391991,0.030667077089308714,7.313103653110559,0.10444396432550018,0.014488680120104735,15.3306393720838,0.370246166069899,0.02474842478879924,6.6678506731232305,0.11208551304284065,0.01709724346524122,15.366017810320999,0.8752757035966994,0.0604024070782776,6.72767117135469,0.5731255549023304,0.09312231813998562,7.96765233358587,0.32818916975103996,0.04295971624088524,21.216479509810103,0.5953899700736045,0.02887286672832179,17.5120731277423,-0.2781331938290954,-0.015634062292568585,3.1603686946892404,-0.16247538573232934,-0.0488964819895239,17.2024814609118,-1.8304819161214994,-0.09617429928595911,7.119453648670611,-0.14201559280125942,-0.01955741848910919,7.964451033137459,0.18540249690958,0.02383356988276142,7.91365336428825,-0.18530703423065997,-0.02288034823142826,18.5973017808816,0.042750291537299034,0.002304032601480488,12.356453484817,-0.8155053823192997,-0.06191223268651136,18.0415373557252,-3.0679500017545998,-0.14533512585124542,19.201849176541398,-0.1435144468040015,-0.007418544804751681,15.3525365678116,0.9639731326667977,0.06699578710632381,5.5453879472258905,-0.8744112663004993,-0.1362053916667879,12.9137291022192,2.2563264134092,0.21171447483900407,BLZ2016
0,1996,BOL,9.309265171882462,,,8.39812354120633,,,9.8325404220974,,,9.99134018525591,,,9.98893841778261,,,9.95135258298412,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,,,8.55656772073537,,,9.87258880062205,,,10.0,,,9.9486800496272,,,10.0,,,10.0,,,10.0,,,8.932803565680869,,,10.0,,,8.21246448786705,,,BOL1996
1,1997,BOL,9.309265171882462,0.0,0.0,8.39812354120632,-8.881784197001252e-15,-1.1102230246251565e-15,9.8325404220974,0.0,0.0,9.99134018525591,0.0,0.0,9.98893841778261,0.0,0.0,9.95135258298412,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.55656772073537,0.0,0.0,9.87258880062205,0.0,0.0,10.0,0.0,0.0,9.94868004962721,1.0658141036401503e-14,1.1102230246251565e-15,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.932803565680869,0.0,0.0,10.0,0.0,0.0,8.21246448786705,0.0,0.0,BOL1997
2,1998,BOL,9.03689301025109,-0.2723721616313721,-0.029258180597759753,7.78479630518453,-0.6133272360217905,-0.07303146149403883,9.719805743368608,-0.11273467872879195,-0.011465468118029287,9.992517418934991,0.001177233679081624,0.00011782540252402995,9.998241289809279,0.009302872026669462,0.0009313173870517666,9.990583881477061,0.03923129849294149,0.003942308160201691,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.329847336603429,-0.22672038413194073,-0.02649665047148786,9.9222777818389,0.049688981216849726,0.005033024490366689,10.0,0.0,0.0,9.965756619574911,0.017076569947700904,0.0017164658891950513,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.22311284897624,-0.7096907167046282,-0.07944770211126151,10.0,0.0,0.0,7.403801109173959,-0.8086633786930912,-0.0984678082794509,BOL1998
3,1999,BOL,9.136191940095811,0.09929892984472133,0.010988171458053086,7.92253139085721,0.13773508567267978,0.017692831035405643,9.83210039598357,0.11229465261496152,0.011553178693059385,9.99276907822987,0.0002516592948786922,2.5184774199216164e-05,9.98040405738496,-0.017837232424318117,-0.0017840370028375796,9.906114541277699,-0.08446934019936236,-0.00845489524951304,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.08262146135864,-0.2472258752447889,-0.029679520554766525,9.90875152362059,-0.013526258218311327,-0.0013632210784371157,10.0,0.0,0.0,9.94687373232826,-0.01888288724665088,-0.0018947770819087717,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,8.50778347008919,0.2846706211129497,0.034618352726168755,10.0,0.0,0.0,8.69679531437582,1.2929942052018601,0.17463924086233584,BOL1999
4,2000,BOL,8.45603194304618,-0.6801599970496319,-0.07444677186176751,5.88050369437497,-2.04202769648224,-0.2577493979814064,9.58396213790477,-0.24813825807880008,-0.025237563499673432,9.755510735337369,-0.2372583428925008,-0.023743002668738633,9.99261655758791,0.012212500202949172,0.0012236478736462608,7.57336372648947,-2.3327508147882288,-0.23548595214278112,9.629443962238849,-0.3705560377611512,-0.037055603776115165,9.99215947459493,-0.007840525405070409,-0.0007840525405070631,10.0,0.0,0.0,8.83939733773809,-1.1606026622619101,-0.11606026622619103,9.999861348303211,-0.00013865169678872746,-1.3865169678828337e-05,7.04803800167141,-1.03458345968723,-0.12800097896868756,9.65627335942636,-0.25247816419422975,-0.025480320461399142,9.98391681870101,-0.016083181298990112,-0.0016083181298990334,9.84825185081798,-0.09862188151027951,-0.009914862112881728,9.988244000579561,-0.011755999420438812,-0.001175599942043859,10.0,0.0,0.0,9.995866469574949,-0.004133530425050935,-0.00041335304250511573,5.18447421418295,-3.3233092559062403,-0.3906198679820657,9.990748563499439,-0.009251436500560928,-0.0009251436500561372,9.13152106005166,0.4347257456758413,0.04998688941859286,BOL2000
5,2001,BOL,8.71480222768772,0.2587702846415407,0.030601857512416286,6.47319774752543,0.5926940531504599,0.1007896744827157,9.242607464406381,-0.34135467349838855,-0.03561728109800477,9.76821036978962,0.012699634452250308,0.0013017908335899442,9.99382365316223,0.00120709557432086,0.00012079874849235672,7.41164847714093,-0.1617152493485401,-0.021353160258618775,9.61308425847809,-0.01635970376075946,-0.0016989250703273173,9.987685181110699,-0.004474293484230785,-0.00044778043180826455,10.0,0.0,0.0,7.22704240218363,-1.6123549355544595,-0.18240552765637352,9.999759721607449,-0.00010162669576274652,-1.0162810485381257e-05,6.69527590415468,-0.35276209751673004,-0.050051106057185546,9.765142395599481,0.10886903617312171,0.011274436019030443,9.985418879535,0.001502060833990626,0.00015044805172825804,9.740089043746039,-0.10816280707194181,-0.010982944862743094,9.99120375931934,0.0029597587397791614,0.00029632423272873964,10.0,0.0,0.0,9.993045004878052,-0.002821464696896925,-0.00028226314401902375,7.45915823499116,2.27468402080821,0.43874922062211286,9.987861426258199,-0.002887137241240012,-0.0002889810731288023,9.139103320703631,0.007582260651970429,0.0008303392832482714,BOL2001
6,2002,BOL,9.24730791250921,0.5325056848214906,0.061103587999928655,6.145299260679639,-0.3278984868457906,-0.05065479221164526,10.7381811341307,1.495573669724319,0.1618129597609579,10.2242791862442,0.45606881645458053,0.04668908624911228,10.024281301787,0.030457648624768296,0.003047647195088432,10.3142494568815,2.90260097974057,0.39162690846615256,10.3567817674407,0.7436975089626099,0.07736304904502611,10.7095906269025,0.7219054457918013,0.07227955554277088,12.755593723174501,2.755593723174501,0.2755593723174501,10.5339651713453,3.3069227691616705,0.4575762234579519,10.1294572856551,0.12969756404765143,0.012970068047475358,5.62490426451541,-1.0703716396392693,-0.15986968348459873,9.96393051215856,0.19878811655907924,0.0203569091474447,10.0,0.014581120464999486,0.0014602412418454058,11.1151505640383,1.3750615202922614,0.14117545682759114,10.0566276816577,0.06542392233835947,0.006548152146065078,10.0450551170707,0.045055117070699424,0.004505511707070031,10.0188353647627,0.025790359884647174,0.0025808309551351716,9.440293311477081,1.9811350764859208,0.26559767390271327,10.021882828317901,0.034021402059702055,0.0034062749379220048,13.3635213521738,4.224418031470169,0.4622355042097199,BOL2002
7,2003,BOL,8.557929280860469,-0.6893786316487418,-0.07454911615046267,5.081593033415389,-1.06370622726425,-0.1730926651644642,9.858598892928859,-0.8795822412018417,-0.08191165991846971,9.99179040019477,-0.23248878604943002,-0.022738892572712777,10.0,-0.024281301786999165,-0.0024222486436679125,9.99588872057855,-0.3183607363029495,-0.03086610786697086,10.0,-0.3567817674406992,-0.03444909581491207,10.0,-0.7095906269025001,-0.06625749308475037,10.0,-2.755593723174501,-0.21603022038622222,10.0,-0.5339651713453009,-0.050689855402009765,10.0,-0.12945728565509995,-0.012780278548430446,5.58414937172082,-0.04075489279458999,-0.0072454375893455936,9.90468007586165,-0.05925043629691018,-0.005946492322945196,10.0,0.0,0.0,9.21690704104719,-1.8982435229911108,-0.17077982993164698,10.0,-0.056627681657699824,-0.005630881787637709,10.0,-0.045055117070699424,-0.004485303121346984,10.0,-0.018835364762699314,-0.0018799954362904714,5.73689441742928,-3.703398894047801,-0.3922970157659589,10.0,-0.021882828317901115,-0.0021835047059289847,9.068056690127161,-4.295464662046639,-0.3214320947934812,BOL2003
