ctry,year,gdpgrowth,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change
Dominican Republic,2001,0.234715263,-3.774472115,-0.9414556515148242,63.46900177,0.3000030500000008,0.004749213317909007,15.69999981,1.5,0.10563380423031155
Dominican Republic,2002,4.169347835,3.934632572,16.76342868252245,63.79800034,0.3289985700000031,0.005183610279428041,16.10000038,0.40000057000000133,0.025477743620431426
Dominican Republic,2003,-1.760220748,-5.929568583,-1.4221813141191182,64.02600098,0.22800064000000475,0.0035737897549283915,16.70000076,0.6000003800000009,0.03726710346822992
Dominican Republic,2004,-0.19317521,1.5670455380000001,-0.8902551227057801,64.26200104,0.23600005999999496,0.0036860034421595245,18.39999962,1.6999988599999973,0.10179633428950807
Dominican Republic,2005,7.671067834,7.864243043999999,-40.7104153995743,64.59500122,0.3330001799999991,0.005181914266764398,18.0,-0.3999996199999991,-0.021739110231568493
Dominican Republic,2006,9.091369571,1.420301737,0.18515045984926437,64.95300293,0.35800170999999636,0.005542250998350484,16.39999962,-1.6000003800000009,-0.0888889100000001
Dominican Republic,2007,7.188993804,-1.9023757669999997,-0.2092507352322659,65.26799774,0.31499481000000173,0.004849580401070419,15.69999981,-0.6999998099999996,-0.04268291623289677
Dominican Republic,2008,1.7939631169999999,-5.395030687,-0.7504569949689165,63.87200165,-1.395996089999997,-0.021388676508218518,14.19999981,-1.5,-0.09554140243011888
Dominican Republic,2009,-0.410140874,-2.2041039909999998,-1.2286228017250813,62.46099854,-1.411003110000003,-0.02209110523468305,14.89999962,0.6999998099999996,0.04929576192719676
Dominican Republic,2010,6.891948697999999,7.302089571999999,-17.80385724735155,63.85400009,1.393001550000001,0.02230194173261446,12.39999962,-2.5,-0.16778523917841548
Dominican Republic,2011,1.7743654580000001,-5.117583239999999,-0.7425451732519556,65.06300354,1.2090034499999973,0.018933871774609923,14.69999981,2.3000001900000004,0.18548389197450632
Dominican Republic,2012,1.499692733,-0.27467272500000006,-0.15480053658709136,65.21499634,0.15199280000000215,0.0023360864351513744,14.73999977,0.03999996000000117,0.002721085749456398
Dominican Republic,2013,3.4548975889999998,1.9552048559999997,1.3037369675645416,65.42900085,0.2140045099999952,0.003281522993335395,15.02000046,0.2800006899999996,0.01899597655149754
Dominican Republic,2014,6.320988449,2.86609086,0.8295733190834098,65.3010025,-0.1279983499999986,-0.001956293819822208,14.5,-0.5200004600000003,-0.03462053555756017
Dominican Republic,2015,5.7949848379999995,-0.5260036110000001,-0.0832154045595852,65.30899811,0.007995610000008924,0.000122442377511911,14.39700031,-0.10299969000000075,-0.0071034268965517455
Dominican Republic,2016,5.439550702999999,-0.3554341350000003,-0.06133478256392988,65.31400299,0.005004880000001322,7.66338505389097e-05,14.36299992,-0.034000389999999214,-0.0023616301498849968
Ecuador,1996,-0.38322479299999995,-0.45404417799999996,-6.411297951824913,66.05500031,,,10.38000011,,
Ecuador,1997,2.214937744,2.5981625370000003,-6.77973498703149,66.375,0.31999969000000306,0.004844443092850259,9.170000076,-1.2100000339999983,-0.11657032959318514
Ecuador,1998,1.2384316579999999,-0.9765060860000003,-0.44087292685550095,66.72499847,0.3499984700000027,0.005273046629001854,11.48999977,2.319999694,0.25299887402094723
Ecuador,1999,-6.5434281510000005,-7.781859809,-6.28364089268138,67.31099701,0.5859985399999914,0.008782293794483254,14.39999962,2.9099998499999984,0.2532636995866535
